option	groups	1A	1B	1D	1E	1G	1I	1K	1L
122	ABCGHIJL	3H	3J	3B	3C	3A	3G	3L	3I
123	ABCGHIKL	3I	3G	3B	3C	3A	3H	3L	3K
124	ABCGHJKL	3H	3J	3B	3C	3A	3G	3L	3K
125	ABCGIJKL	3I	3J	3B	3C	3A	3G	3L	3K
126	ABCHIJKL	3I	3J	3B	3C	3A	3H	3L	3K
127	ABDEFGHI	3H	3G	3B	3D	3A	3F	3E	3I
128	ABDEFGHJ	3H	3G	3B	3D	3A	3F	3E	3J
129	ABDEFGHK	3H	3G	3B	3D	3A	3F	3E	3K
130	ABDEFGHL	3H	3G	3B	3D	3A	3F	3L	3E
131	ABDEFGIJ	3E	3G	3B	3D	3A	3F	3I	3J
132	ABDEFGIK	3E	3G	3B	3D	3A	3F	3I	3K
133	ABDEFGIL	3E	3G	3B	3D	3A	3F	3L	3I
134	ABDEFGJK	3E	3G	3B	3D	3A	3F	3J	3K
135	ABDEFGJL	3E	3G	3B	3D	3A	3F	3L	3J
136	ABDEFGKL	3E	3G	3B	3D	3A	3F	3L	3K
137	ABDEFHIJ	3H	3J	3B	3D	3A	3F	3E	3I
138	ABDEFHIK	3H	3E	3B	3D	3A	3F	3I	3K
139	ABDEFHIL	3H	3E	3B	3D	3A	3F	3L	3I
140	ABDEFHJK	3H	3J	3B	3D	3A	3F	3E	3K
141	ABDEFHJL	3H	3J	3B	3D	3A	3F	3L	3E
142	ABDEFHKL	3H	3E	3B	3D	3A	3F	3L	3K
143	ABDEFIJK	3E	3J	3B	3D	3A	3F	3I	3K
144	ABDEFIJL	3E	3J	3B	3D	3A	3F	3L	3I
145	ABDEFIKL	3E	3I	3B	3D	3A	3F	3L	3K
146	ABDEFJKL	3E	3J	3B	3D	3A	3F	3L	3K
147	ABDEGHIJ	3H	3J	3B	3D	3A	3G	3E	3I
148	ABDEGHIK	3E	3G	3B	3D	3A	3H	3I	3K
149	ABDEGHIL	3E	3G	3B	3D	3A	3H	3L	3I
150	ABDEGHJK	3H	3J	3B	3D	3A	3G	3E	3K
151	ABDEGHJL	3H	3J	3B	3D	3A	3G	3L	3E
152	ABDEGHKL	3E	3G	3B	3D	3A	3H	3L	3K
153	ABDEGIJK	3E	3J	3B	3D	3A	3G	3I	3K
154	ABDEGIJL	3E	3J	3B	3D	3A	3G	3L	3I
155	ABDEGIKL	3E	3G	3B	3A	3I	3D	3L	3K
156	ABDEGJKL	3E	3J	3B	3D	3A	3G	3L	3K
157	ABDEHIJK	3E	3J	3B	3D	3A	3H	3I	3K
158	ABDEHIJL	3E	3J	3B	3D	3A	3H	3L	3I
159	ABDEHIKL	3E	3I	3B	3D	3A	3H	3L	3K
160	ABDEHJKL	3E	3J	3B	3D	3A	3H	3L	3K
161	ABDEIJKL	3E	3J	3B	3A	3I	3D	3L	3K
162	ABDFGHIJ	3H	3G	3B	3D	3A	3F	3I	3J
163	ABDFGHIK	3H	3G	3B	3D	3A	3F	3I	3K
164	ABDFGHIL	3H	3G	3B	3D	3A	3F	3L	3I
165	ABDFGHJK	3H	3G	3B	3D	3A	3F	3J	3K
166	ABDFGHJL	3H	3G	3B	3D	3A	3F	3L	3J
167	ABDFGHKL	3H	3G	3B	3D	3A	3F	3L	3K
168	ABDFGIJK	3F	3J	3B	3D	3A	3G	3I	3K
169	ABDFGIJL	3F	3J	3B	3D	3A	3G	3L	3I
170	ABDFGIKL	3I	3G	3B	3D	3A	3F	3L	3K
171	ABDFGJKL	3F	3J	3B	3D	3A	3G	3L	3K
172	ABDFHIJK	3H	3J	3B	3D	3A	3F	3I	3K
173	ABDFHIJL	3H	3J	3B	3D	3A	3F	3L	3I
174	ABDFHIKL	3H	3I	3B	3D	3A	3F	3L	3K
175	ABDFHJKL	3H	3J	3B	3D	3A	3F	3L	3K
176	ABDFIJKL	3I	3J	3B	3D	3A	3F	3L	3K
177	ABDGHIJK	3H	3J	3B	3D	3A	3G	3I	3K
178	ABDGHIJL	3H	3J	3B	3D	3A	3G	3L	3I
179	ABDGHIKL	3I	3G	3B	3D	3A	3H	3L	3K
180	ABDGHJKL	3H	3J	3B	3D	3A	3G	3L	3K
181	ABDGIJKL	3I	3J	3B	3D	3A	3G	3L	3K
182	ABDHIJKL	3I	3J	3B	3D	3A	3H	3L	3K
183	ABEFGHIJ	3H	3J	3B	3F	3A	3G	3E	3I
184	ABEFGHIK	3E	3G	3B	3F	3A	3H	3I	3K
185	ABEFGHIL	3E	3G	3B	3F	3A	3H	3L	3I
186	ABEFGHJK	3H	3J	3B	3F	3A	3G	3E	3K
187	ABEFGHJL	3H	3J	3B	3F	3A	3G	3L	3E
188	ABEFGHKL	3E	3G	3B	3F	3A	3H	3L	3K
189	ABEFGIJK	3E	3J	3B	3F	3A	3G	3I	3K
190	ABEFGIJL	3E	3J	3B	3F	3A	3G	3L	3I
191	ABEFGIKL	3E	3G	3B	3A	3I	3F	3L	3K
192	ABEFGJKL	3E	3J	3B	3F	3A	3G	3L	3K
193	ABEFHIJK	3E	3J	3B	3F	3A	3H	3I	3K
194	ABEFHIJL	3E	3J	3B	3F	3A	3H	3L	3I
195	ABEFHIKL	3E	3I	3B	3F	3A	3H	3L	3K
196	ABEFHJKL	3E	3J	3B	3F	3A	3H	3L	3K
197	ABEFIJKL	3E	3J	3B	3A	3I	3F	3L	3K
198	ABEGHIJK	3E	3J	3B	3A	3H	3G	3I	3K
199	ABEGHIJL	3E	3J	3B	3A	3H	3G	3L	3I
200	ABEGHIKL	3E	3G	3B	3A	3I	3H	3L	3K
201	ABEGHJKL	3E	3J	3B	3A	3H	3G	3L	3K
202	ABEGIJKL	3E	3J	3B	3A	3I	3G	3L	3K
203	ABEHIJKL	3E	3J	3B	3A	3I	3H	3L	3K
204	ABFGHIJK	3H	3J	3B	3F	3A	3G	3I	3K
205	ABFGHIJL	3H	3J	3B	3F	3A	3G	3L	3I
206	ABFGHIKL	3H	3G	3B	3A	3I	3F	3L	3K
207	ABFGHJKL	3H	3J	3B	3F	3A	3G	3L	3K
208	ABFGIJKL	3I	3J	3B	3F	3A	3G	3L	3K
209	ABFHIJKL	3H	3J	3B	3A	3I	3F	3L	3K
210	ABGHIJKL	3H	3J	3B	3A	3I	3G	3L	3K
211	ACDEFGHI	3H	3G	3E	3C	3A	3F	3D	3I
212	ACDEFGHJ	3H	3G	3J	3C	3A	3F	3D	3E
213	ACDEFGHK	3H	3G	3E	3C	3A	3F	3D	3K
214	ACDEFGHL	3H	3G	3F	3C	3A	3D	3L	3E
215	ACDEFGIJ	3C	3G	3J	3D	3A	3F	3E	3I
216	ACDEFGIK	3C	3G	3E	3D	3A	3F	3I	3K
217	ACDEFGIL	3C	3G	3E	3D	3A	3F	3L	3I
218	ACDEFGJK	3C	3G	3J	3D	3A	3F	3E	3K
219	ACDEFGJL	3C	3G	3J	3D	3A	3F	3L	3E
220	ACDEFGKL	3C	3G	3E	3D	3A	3F	3L	3K
221	ACDEFHIJ	3H	3J	3E	3C	3A	3F	3D	3I
222	ACDEFHIK	3H	3E	3F	3C	3A	3D	3I	3K
223	ACDEFHIL	3H	3E	3F	3C	3A	3D	3L	3I
224	ACDEFHJK	3H	3J	3E	3C	3A	3F	3D	3K
225	ACDEFHJL	3H	3J	3F	3C	3A	3D	3L	3E
226	ACDEFHKL	3H	3E	3F	3C	3A	3D	3L	3K
227	ACDEFIJK	3C	3J	3E	3D	3A	3F	3I	3K
228	ACDEFIJL	3C	3J	3E	3D	3A	3F	3L	3I
229	ACDEFIKL	3C	3E	3I	3D	3A	3F	3L	3K
230	ACDEFJKL	3C	3J	3E	3D	3A	3F	3L	3K
231	ACDEGHIJ	3H	3G	3J	3C	3A	3D	3E	3I
232	ACDEGHIK	3H	3G	3E	3C	3A	3D	3I	3K
233	ACDEGHIL	3H	3G	3E	3C	3A	3D	3L	3I
234	ACDEGHJK	3H	3G	3J	3C	3A	3D	3E	3K
235	ACDEGHJL	3H	3G	3J	3C	3A	3D	3L	3E
236	ACDEGHKL	3H	3G	3E	3C	3A	3D	3L	3K
237	ACDEGIJK	3E	3G	3J	3C	3A	3D	3I	3K
238	ACDEGIJL	3E	3G	3J	3C	3A	3D	3L	3I
239	ACDEGIKL	3E	3G	3I	3C	3A	3D	3L	3K
240	ACDEGJKL	3E	3G	3J	3C	3A	3D	3L	3K
241	ACDEHIJK	3H	3J	3E	3C	3A	3D	3I	3K
242	ACDEHIJL	3H	3J	3E	3C	3A	3D	3L	3I
243	ACDEHIKL	3H	3E	3I	3C	3A	3D	3L	3K
244	ACDEHJKL	3H	3J	3E	3C	3A	3D	3L	3K
245	ACDEIJKL	3E	3J	3I	3C	3A	3D	3L	3K
246	ACDFGHIJ	3H	3G	3J	3C	3A	3F	3D	3I
247	ACDFGHIK	3H	3G	3F	3C	3A	3D	3I	3K
248	ACDFGHIL	3H	3G	3F	3C	3A	3D	3L	3I
249	ACDFGHJK	3H	3G	3J	3C	3A	3F	3D	3K
250	ACDFGHJL	3C	3G	3J	3D	3A	3F	3L	3H
251	ACDFGHKL	3H	3G	3F	3C	3A	3D	3L	3K
252	ACDFGIJK	3C	3G	3J	3D	3A	3F	3I	3K
253	ACDFGIJL	3C	3G	3J	3D	3A	3F	3L	3I
254	ACDFGIKL	3C	3G	3I	3D	3A	3F	3L	3K
255	ACDFGJKL	3C	3G	3J	3D	3A	3F	3L	3K
256	ACDFHIJK	3H	3J	3F	3C	3A	3D	3I	3K
257	ACDFHIJL	3H	3J	3F	3C	3A	3D	3L	3I
258	ACDFHIKL	3H	3F	3I	3C	3A	3D	3L	3K
259	ACDFHJKL	3H	3J	3F	3C	3A	3D	3L	3K
260	ACDFIJKL	3C	3J	3I	3D	3A	3F	3L	3K
261	ACDGHIJK	3H	3G	3J	3C	3A	3D	3I	3K
262	ACDGHIJL	3H	3G	3J	3C	3A	3D	3L	3I
263	ACDGHIKL	3H	3G	3I	3C	3A	3D	3L	3K
264	ACDGHJKL	3H	3G	3J	3C	3A	3D	3L	3K
265	ACDGIJKL	3I	3G	3J	3C	3A	3D	3L	3K
266	ACDHIJKL	3H	3J	3I	3C	3A	3D	3L	3K
